OBJECTID,Year,SiteYearID,SiteID,StnNumStrt,StnNumEnd,AssessDate,HabType,HabDetail,StnLgth,StnWdth,StnDpthAvg,StnDpthMax,StnEmbed,StnFines,StnEsCov,StnCan,StnDecid,StnSthd,YearLabel,GlobalID
12434,2021,2021-APT-apto-3,APT-apto-3,22,22,2021/09/27 00:00:00+00,riffle,,20,11,0.35,0.5,30,5,0,66,95,0,2021,{53B1A64A-12B5-492D-85BC-6E88A8FD9BBA}
12435,2021,2021-APT-apto-3,APT-apto-3,25,25,2021/09/27 00:00:00+00,pool,bedrock,228,17,1.5,2.4,65,80,75,68,85,8,2021,{55EC3D0D-8BA3-4D86-BFE3-931C05A860D0}
12436,2021,2021-APT-apto-3,APT-apto-3,26,26,2021/09/27 00:00:00+00,run,,46,13,0.5,0.9,40,40,3,72,98,8,2021,{94F909DB-FCD8-4CAE-9CF8-9B045C529CEF}
12437,2021,2021-APT-apto-4,APT-apto-4,42,42,2021/09/27 00:00:00+00,run,,33,18,0.4,0.6,45,25,1,74,20,0,2021,{580311C5-5027-430C-8A82-DB2B7B88CD7F}
12438,2021,2021-APT-apto-4,APT-apto-4,43,43,2021/09/27 00:00:00+00,pool,boulder,82,17,1.5,2.5,45,35,18,70,20,3,2021,{A82B7B15-9D0B-4255-B74F-74924C2AEE4E}
12439,2021,2021-APT-apto-4,APT-apto-4,44,44,2021/09/27 00:00:00+00,riffle,,36,12,0.5,0.8,25,10,4,76,25,1,2021,{5422DC34-9458-4BDD-9F4C-299D9F85B280}
12440,2021,2021-APT-apto-4,APT-apto-4,45,45,2021/09/27 00:00:00+00,pool,bedrock,126,7,0.9,1.6,40,50,14.5,70,30,2,2021,{B85B9F92-4316-4579-929A-CF2E84ABA74A}
12441,2021,2021-APT-lagoon,APT-lagoon,,,2021/10/01 00:00:00+00,,,,,,,,,,,,,2021,{E5B8E6FA-0AE1-4DBE-861C-8869BA6A7B61}
12442,2021,2021-APT-lagoon,APT-lagoon,,,2021/10/08 00:00:00+00,,,,,,,,,,,,,2021,{C32BF92F-7063-4AC9-86A9-76FEF27011A9}
12443,2021,2021-APT-vale-2,APT-vale-2,33,33,2021/09/28 00:00:00+00,pool,rootwad corner,146,6,0.6,1.5,65,99,24,68,15,10,2021,{55CEEBD1-4469-42FE-95C9-B923C10793CB}
