OBJECTID,ReachID,SiteID,GlobalID,SHAPE_Length
28,SLR-main-10,SLR-main-10,{1FA49B05-4B74-4C54-B185-763517230C30},3657.83570842501
29,SLR-main-11,SLR-main-11,{2EBDD76E-18EB-4D10-90C9-44934F171620},2968.76395622265
30,SLR-main-12,SLR-main-12b,{9C71D15F-362F-4D43-94B4-1A4E83FBEC44},2000.82433856425
31,SLR-main-2,SLR-main-2a,{9A6950F5-2F36-4F65-A0D1-CE3423840B48},3230.76008461176
32,SLR-main-4,SLR-main-4,{50F02C78-8AD1-4533-9A82-943E3C8C7F77},3448.81988533066
33,SLR-main-6,SLR-main-6,{AE7F53EA-03BB-4548-810D-960EC80046E2},5139.50411475571
34,SLR-main-8,SLR-main-8,{CA3CC289-75DF-4A54-8419-EFF106CB3F1A},3660.13654297852
35,SLR-main-9,SLR-main-9,{0E54C9B6-72C9-4F2C-B63F-F100B0A33180},2911.03793362089
36,SLR-newl-16,SLR-newl-16,{EDBA8425-A614-4920-9ED2-02A2D41A7EB3},2238.97573420591
37,SLR-zayt-13i,SLR-zayt-13i,{C262BE50-06BD-48FA-BF19-DA01A4168727},4792.39446332719
38,SLR-zayt-13a,SLR-zayt-13a,{FFA9BE59-E7A6-47D2-A6CB-B87A5E905B50},2534.53124215318
39,SLR-zayt-13c,SLR-zayt-13c,{53974DB5-F773-46D7-B527-97C3B11D8276},2751.01800847617
40,SLR-zayt-13d,SLR-zayt-13d,{7FB33533-5A9C-4A57-A933-DDE40FA5CFE3},2381.55577440854
41,SOQ-east-12a,SOQ-east-16,{71A576E9-4FFE-4AF2-8889-BB5D16407F54},2657.28764447862
42,SOQ-east-9a,SOQ-east-13a,{B2CEE9D9-86F4-4994-AEA1-E98EC6BF969B},2720.84504698583
43,SOQ-main-1,SOQ-main-1,{3CF6B563-62A8-4C7F-A3CD-FFA40BD59C11},4036.54972166572
44,SOQ-main-3,SOQ-main-4,{0BAF10F6-70B6-42BE-8348-8049052B3891},3290.63879978549
45,SOQ-main-7,SOQ-main-10,{A638CD88-D00F-408E-870F-96C67AA41625},2947.9050031739
46,SOQ-main-8,SOQ-main-12,{75B5BF12-8997-4DAF-A41C-D574F1ACC1B7},2693.50942426983
47,SOQ-west-13,SOQ-west-19,{DA313606-6C66-418E-8F72-BFBCB7B026E8},2454.0877044606
48,SOQ-west-14b,SOQ-west-21,{CF6AA3A1-2666-4D31-B12A-9A24B89F9104},2647.61585505892
49,PAJ-cass-3,PAJ-cass-3,{613AD932-2594-4610-80F1-E937D3137EFA},2189.66618510617
50,SLR-main-0,SLR-main-0a,{54DC4DAA-FB16-4F56-A533-4D13EF9C387A},2487.62643195118
51,SLR-carb-20a,SLR-carb-20a,{553CDFD5-A651-455E-A34D-7EE7DFF81E76},2658.8811170832
52,SLR-bean-14c,SLR-bean-14c2,{15C2E415-73A2-40CB-946A-C85EFAEA2F36},2003.56245707191
