OBJECTID,ReachID,SiteID,GlobalID,SHAPE_Length
33,SLR-main-6,SLR-main-6,{AE7F53EA-03BB-4548-810D-960EC80046E2},0.0152757301005363
34,SLR-main-8,SLR-main-8,{CA3CC289-75DF-4A54-8419-EFF106CB3F1A},0.0107462932555455
35,SLR-main-9,SLR-main-9,{0E54C9B6-72C9-4F2C-B63F-F100B0A33180},0.00851894698508547
36,SLR-newl-16,SLR-newl-16,{EDBA8425-A614-4920-9ED2-02A2D41A7EB3},0.0065065376681419
37,SLR-zayt-13i,SLR-zayt-13i,{C262BE50-06BD-48FA-BF19-DA01A4168727},0.0136863846871941
38,SLR-zayt-13a,SLR-zayt-13a,{FFA9BE59-E7A6-47D2-A6CB-B87A5E905B50},0.00766451104295754
39,SLR-zayt-13c,SLR-zayt-13c,{53974DB5-F773-46D7-B527-97C3B11D8276},0.00813152381566627
40,SLR-zayt-13d,SLR-zayt-13d,{7FB33533-5A9C-4A57-A933-DDE40FA5CFE3},0.0071595210079211
41,SOQ-east-12a,SOQ-east-16,{71A576E9-4FFE-4AF2-8889-BB5D16407F54},0.00829998095049015
42,SOQ-east-9a,SOQ-east-13a,{B2CEE9D9-86F4-4994-AEA1-E98EC6BF969B},0.00836466500462425
43,SOQ-main-1,SOQ-main-1,{3CF6B563-62A8-4C7F-A3CD-FFA40BD59C11},0.0122239737063264
44,SOQ-main-3,SOQ-main-4,{0BAF10F6-70B6-42BE-8348-8049052B3891},0.00941410562456468
45,SOQ-main-7,SOQ-main-10,{A638CD88-D00F-408E-870F-96C67AA41625},0.00987963469103404
46,SOQ-main-8,SOQ-main-12,{75B5BF12-8997-4DAF-A41C-D574F1ACC1B7},0.00799835863102149
47,SOQ-west-13,SOQ-west-19,{DA313606-6C66-418E-8F72-BFBCB7B026E8},0.0072737500698628
48,SOQ-west-14b,SOQ-west-21,{CF6AA3A1-2666-4D31-B12A-9A24B89F9104},0.00803166445204004
49,PAJ-cass-3,PAJ-cass-3,{613AD932-2594-4610-80F1-E937D3137EFA},0.00669063527484174
50,SLR-main-0,SLR-main-0a,{54DC4DAA-FB16-4F56-A533-4D13EF9C387A},0.00707906543832972
51,SLR-carb-20a,SLR-carb-20a,{553CDFD5-A651-455E-A34D-7EE7DFF81E76},0.00752171019616913
52,SLR-bean-14c,SLR-bean-14c2,{15C2E415-73A2-40CB-946A-C85EFAEA2F36},0.00590649248821316
